epoch,train_loss,train_acc,val_loss,val_acc
1,1.8965381702248694,0.2525399129172714,1.67710983983932,0.3741935483870968
2,1.6046984379108136,0.4310595065312046,1.47225940381327,0.535483870967742
3,1.3833455930427474,0.532656023222061,1.306201038822051,0.6129032258064516
4,1.2573993716426788,0.6008708272859217,1.2038566689337453,0.6387096774193548
5,1.1279073219167823,0.648766328011611,1.106570936402967,0.6645161290322581
6,1.0619131763545453,0.6806966618287373,1.0527546713429112,0.6451612903225806
7,1.0080569643413726,0.6850507982583455,0.998669199405178,0.6645161290322581
8,0.9653929906244375,0.6865021770682148,0.9847830476299408,0.6580645161290323
9,0.9308158718968683,0.6850507982583455,0.9675598375258907,0.6451612903225806
10,0.8811881788756228,0.7329462989840348,0.9512943052476452,0.6645161290322581
11,0.8529010383933999,0.6981132075471698,0.8929689945713166,0.6838709677419355
12,0.8077051271028892,0.7445573294629898,0.8937465525442554,0.6451612903225806
13,0.7845955778275588,0.7590711175616836,0.8657254361337231,0.6774193548387096
14,0.7833883492451794,0.7416545718432511,0.8433099900522539,0.6967741935483871
15,0.7792852930129872,0.7489114658925979,0.8573462486267089,0.6903225806451613
16,0.756111961663721,0.7489114658925979,0.8228286220181373,0.6903225806451613
17,0.7130060589538431,0.7750362844702468,0.8124796602033799,0.6838709677419355
18,0.6905849000712092,0.7851959361393324,0.7859408517037668,0.7225806451612903
19,0.7113426289641459,0.760522496371553,0.7730366022356094,0.7225806451612903
20,0.6673534045804221,0.7910014513788098,0.7638613789312301,0.7032258064516129
21,0.6991531004580427,0.7460087082728593,0.7683145799944477,0.7225806451612903
22,0.6614309326138655,0.7910014513788098,0.778122531214068,0.7225806451612903
23,0.6144600510597229,0.8127721335268505,0.799545947582491,0.7161290322580646
24,0.6248743363233021,0.795355587808418,0.7720080675617341,0.7161290322580646
25,0.6291264009666028,0.7779390420899854,0.7493857495246395,0.7225806451612903
26,0.6279113996011598,0.7982583454281568,0.7733209898394923,0.7096774193548387
27,0.6035053698867776,0.8243831640058055,0.7355237999270039,0.7225806451612903
28,0.6168771631831874,0.7866473149492017,0.7769606944053403,0.7225806451612903
29,0.6067967356894982,0.7982583454281568,0.7382147031445657,0.7225806451612903
30,0.5926086297055979,0.7997097242380261,0.7235463042413035,0.7096774193548387
